generated_at,snapshot_hash,cve_id,build_status,version,service_role,vuln_category,primary_mitre_phase,schema_v3,source_bundle_complete,source_bundle_hashed,self_contained_paths,runtime_spec_explicit,runtime_ready,runtime_build_reproducible,flag_contract_explicit,validation_contract_explicit,native_verified,service_contract_complete,verified_capability,guide_ready_valid,orchestrated_environment_verified,blockers,parse_error
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2016-5734,building,2,web_application,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2016-9086,building,2,web_application,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-1000028,completed,3,web_application,LFI,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-1000353,building,2,web_application,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-10271,building,3,middleware,Deserialization,initial_access,True,True,True,True,True,False,True,True,True,True,True,True,True,True,runtime_ready,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-11610,completed,3,web_application,RCE,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-12149,completed,3,web_application,Deserialization,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-12615,completed,3,web_application,RCE,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-12629-RCE,building,2,middleware,RCE,initial_access,False,False,False,True,False,False,False,False,False,False,False,False,False,False,schema_v3; source_bundle_complete; source_bundle_hashed; runtime_spec_explicit; runtime_ready; runtime_build_reproducible; flag_contract_explicit; validation_contract_explicit; native_verified; service_contract_complete; verified_capability; guide_ready_valid; orchestrated_environment_verified,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-12635,completed,3,database,Auth_Bypass,initial_access,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
2026-07-30T17:05:00.766779+00:00,1649e1ba411a85e2a29f8ce3be88daae737173169d49581c15964addc311a2e5,CVE-2017-12636,building,3,database,RCE,initial_access,True,True,True,True,True,False,False,True,True,True,False,False,True,True,runtime_ready; runtime_build_reproducible; service_contract_complete; verified_capability,
